OCM_ID,Operator,OperatorWebsite,UsageType,Status,IsOperational,AddressLine1,AddressLine2,Town,StateOrProvince,Postcode,Country,Latitude,Longitude,Title,NumberOfPoints,ConnectorTypes,MaxPowerKW,AllConnectorPowersKW,ConnectionStatuses,DataProvider,DateLastStatusUpdate,DateLastVerified,SubmissionStatus
45049,POD Point (UK),http://www.pod-point.com/,Public - Membership Required,Operational,True,5 Spenser Street,Westminster,London,,SW1E 6AA,GB,51.497912,-0.136349,5 Spenser Street,4.0,Type 2 (Socket Only); Type 2 (Socket Only),3.0,3,Operational,Open Charge Map Contributors,2025-03-05T16:42:00Z,2025-03-05T16:42:00Z,Submission Published
60268,POD Point (UK),http://www.pod-point.com/,"Private - For Staff, Visitors or Customers",Unknown,,73 Great Peter Street,Millbank,London,,SW1P 2BN,GB,51.496653,-0.13111,Society of Motor Traders,5.0,Type 2 (Socket Only),7.0,7,Unknown,Open Charge Map Contributors,2023-10-09T13:30:00Z,2023-10-09T13:30:00Z,Submission Published
253851,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public,,,2 Bury Place,,London,,WC1A 2JU,GB,51.518144,-0.12398,2 Bury Place,,Type 2 (Socket Only),3.7,3.7,Operational,UK National Charge Point Registry,2023-05-04T09:46:00Z,2023-05-04T09:46:00Z,Imported and Published
173531,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public - Pay At Location,,,14 St George Street,,London,,W1S 1FH,GB,51.512844,-0.143349,14 St George Street,,Type 2 (Socket Only),3.7,3.7,Operational,UK National Charge Point Registry,2023-05-04T09:46:00Z,2023-05-04T09:46:00Z,Imported and Published
252909,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public - Pay At Location,,,Great Peter Street,,London,,SW1P 2JX,GB,51.496731,-0.132808,Great Peter Street,,Type 2 (Socket Only),3.7,3.7,Operational,UK National Charge Point Registry,2023-05-04T09:45:00Z,2023-05-04T09:45:00Z,Imported and Published
173460,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public,,,17 Southampton Place,,London,,WC1A 2DB,GB,51.517947,-0.121831,17 Southampton Place,,Type 2 (Socket Only),3.7,3.7,Operational,UK National Charge Point Registry,2022-08-23T11:09:00Z,2022-08-23T11:09:00Z,Imported and Published
460396,Total Energies (UK),https://chargingservices.totalenergies.com/en/home/united-kingdom,Public,Operational,True,15 Berkeley Square,,,,W1J 6EG,GB,51.509871967635604,-0.1453217303424026,15 Berkeley Square,2.0,Type 2 (Socket Only),22.0,22,Operational,Open Charge Map Contributors,2025-08-15T15:57:00Z,2025-08-15T15:57:00Z,Submission Published
52972,BP Pulse (UK),https://www.bppulse.co.uk/,Public - Membership Required,Operational,True,16-18 Berners Street,City of Westminster,London,,W1T 3LN,GB,51.517235,-0.136815,Berners Street,2.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only),7.0,3; 7,Operational,Open Charge Map Contributors,2023-04-03T16:59:00Z,2023-04-03T16:59:00Z,Submission Published
92443,POD Point (UK),http://www.pod-point.com/,"Private - For Staff, Visitors or Customers",Unknown,,16 Lower Marsh,,London,,SE1 7RJ,GB,51.500361,-0.113099,Islamic Relief UK,1.0,Type 2 (Socket Only),7.0,7,Unknown,Open Charge Map Contributors,2023-10-09T13:27:00Z,2023-10-09T13:27:00Z,Submission Published
264631,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public - Pay At Location,,,null,,London,,SW1P 2BQ,GB,51.496,-0.13085,Shell Recharge/Ubitricity,,Type 2 (Socket Only),5.0,5,Operational,UK National Charge Point Registry,2023-05-04T09:45:00Z,2023-05-04T09:45:00Z,Imported and Published
