operator,status,is_operational,latitude,longitude,num_points,connector_types,max_power_kw,borough,borough_density_km2,uk_avg_util_pct,uk_avg_energy_kWh,priority_score,stations_per_borough,operational_flag,usage_Private - Restricted Access,usage_Privately Owned - Notice Required,usage_Public,usage_Public - Membership Required,usage_Public - Pay At Location,avg_power_per_connector,has_fast_charger,cluster
Bp Pulse (Uk),Operational,True,51.506001,-0.146775,2.0,BS1363 3 Pin 13 Amp,3.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.2087595366273387,476,1,False,False,False,True,False,3.0,0,2
Total Energies (Uk),Not Operational,False,51.512165,-0.145341,1.0,Type 2 (Socket Only),22.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.2265364656861963,476,0,False,False,True,False,False,22.0,1,2
Independent Operator,Operational,True,51.5190133,-0.1222460000000182,1.0,0,4.8,Camden,13988.4,50.21666666666667,36.88102564102565,0.2162892799039258,177,1,False,False,True,False,False,4.8,0,2
Shell Recharge Solutions (Uk),Not Operational,False,51.498965,-0.141783,1.0,Type 2 (Socket Only),3.7,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1281114921712353,476,0,False,False,False,False,True,3.7,0,1
Bp Pulse (Uk),Operational,True,51.518002,-0.137539,2.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only),4.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1297836729545006,476,1,False,False,False,True,False,4.0,0,1
Independent Operator,Operational,True,51.51643,-0.114483,1.0,0,4.8,Westminster,13988.4,50.21666666666667,36.88102564102565,0.2162892799039258,476,1,False,False,True,False,False,4.8,0,2
Shell Recharge Solutions (Uk),Not Operational,False,51.511983,-0.146098,1.0,Type 2 (Socket Only),5.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1294215358393576,476,0,False,False,False,False,True,5.0,0,1
Bp Pulse (Uk),Operational,True,51.510944,-0.146848,2.0,BS1363 3 Pin 13 Amp,3.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.2087595366273387,476,1,False,False,False,True,False,3.0,0,2
Independent Operator,Operational,True,51.510944,-0.146848,1.0,0,4.8,Westminster,13608.4,50.21666666666667,36.88102564102565,0.2092035802310401,476,1,False,False,True,False,False,4.8,0,2
Shell Recharge Solutions (Uk),Not Operational,False,51.495919,-0.135237,1.0,Type 2 (Socket Only),5.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1294215358393576,476,0,False,False,False,False,True,5.0,0,1
Pod Point (Uk),Operational,True,51.497297,-0.139462,2.0,Type 2 (Socket Only),7.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.212790440221561,476,1,False,False,False,True,False,7.0,0,2
Shell Recharge Solutions (Uk),Not Operational,False,51.496,-0.13586,1.0,Type 2 (Socket Only),5.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1294215358393576,476,0,False,False,False,False,True,5.0,0,1
(Business Owner At Location),Operational,True,51.4948439,-0.12867,2.0,Type 2 (Socket Only),7.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.212790440221561,476,1,False,False,False,False,False,7.0,0,2
Total Energies (Uk),Not Operational,False,51.5175,-0.115606,1.0,Type 1 (J1772); Type 2 (Socket Only),7.0,Westminster,13988.4,50.21666666666667,36.88102564102565,0.2185062768807482,476,0,False,False,False,True,False,7.0,0,2
Pod Point (Uk),Operational,True,51.494767503224,-0.130060857177789,2.0,Type 2 (Socket Only),7.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1328068506501674,476,1,False,False,False,True,False,7.0,0,1
Bp Pulse (Uk),Operational,True,51.494678,-0.129862,1.0,CCS (Type 2); CHAdeMO; Type 2 (Tethered Connector),50.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1747692012743593,476,1,True,False,False,False,False,50.0,1,3
Total Energies (Uk),Operational,True,51.519293,-0.135446,1.0,Type 1 (J1772); Type 2 (Socket Only),7.0,Westminster,13988.4,50.21666666666667,36.88102564102565,0.2185062768807482,476,1,False,False,False,True,False,7.0,0,2
Esb Energy (Uk),Not Operational,False,51.494868,-0.132312,1.0,CHAdeMO; Type 2 (Tethered Connector) ; Type 2 (Tethered Connector),50.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.2547527908457529,476,0,False,False,False,False,True,50.0,1,2
Total Energies (Uk),Not Operational,False,51.495977,-0.137269,1.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only),7.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1314369876364688,476,0,False,False,False,True,False,7.0,0,1
Total Energies (Uk),Operational,True,51.5201029380956,-0.131020545959473,1.0,Type 2 (Socket Only); Type 1 (J1772),7.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1314369876364688,476,1,False,False,False,True,False,7.0,0,1
Esb Energy (Uk),Operational,True,51.497106,-0.115396,1.0,CHAdeMO; CCS (Type 2); Type 2 (Tethered Connector),50.0,Lambeth,14883.6,50.21666666666667,36.88102564102565,0.2785309072217106,83,1,False,False,False,False,True,50.0,1,2
Shell Recharge Solutions (Uk),Not Operational,False,51.494536,-0.126872,1.0,Type 2 (Socket Only),3.7,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1281114921712353,476,0,False,False,False,False,True,3.7,0,1
Shell Recharge Solutions (Uk),Not Operational,False,51.494531,-0.126872,1.0,Type 2 (Socket Only),5.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1294215358393576,476,0,False,False,False,False,True,5.0,0,1
Shell Recharge Solutions (Uk),Not Operational,False,51.495249,-0.134985,1.0,Type 2 (Socket Only),3.7,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1281114921712353,476,0,False,False,False,False,True,3.7,0,1
Char.Gy,Operational,True,51.5064914,-0.1070171,1.0,Type 2 (Socket Only),5.1,Outer London,9318.948648648648,50.21666666666667,36.88102564102565,0.1295223084292132,7950,1,False,False,True,False,False,5.1,0,1
Shell Recharge Solutions (Uk),Operational,True,51.508123,-0.14861,1.0,Type 2 (Socket Only),3.7,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1281114921712353,476,1,False,False,False,False,True,3.7,0,1
Pod Point (Uk),Operational,True,51.498136,-0.142448,1.0,Type 2 (Socket Only),7.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1314369876364688,476,1,False,False,False,False,False,7.0,0,1
Shell Recharge Solutions (Uk),Not Operational,False,51.496199,-0.138431,1.0,Type 2 (Socket Only),3.7,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1281114921712353,476,0,False,False,False,False,True,3.7,0,1
Char.Gy,Operational,True,51.5059876,-0.1068167,1.0,Type 2 (Socket Only),5.1,Outer London,9318.948648648648,50.21666666666667,36.88102564102565,0.1295223084292132,7950,1,False,False,True,False,False,5.1,0,1
Pod Point (Uk),Operational,True,51.4943511,-0.130313900000033,14.0,Type 2 (Socket Only),7.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.149245206814551,476,1,False,False,False,False,False,7.0,0,1
Shell Recharge Solutions (Uk),Not Operational,False,51.518365,-0.139669,1.0,Type 2 (Socket Only),3.7,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1281114921712353,476,0,False,False,False,False,True,3.7,0,1
Charge & Drive (Fortum - No),Operational,True,51.497177,-0.141294,1.0,Type 2 (Socket Only),7.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1314369876364688,476,1,False,False,False,True,False,7.0,0,1
Shell Recharge Solutions (Uk),Not Operational,False,51.509231,-0.14889,1.0,Type 2 (Socket Only),5.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1294215358393576,476,0,False,False,False,False,True,5.0,0,1
Char.Gy,Operational,True,51.5056487,-0.1066798,1.0,Type 2 (Socket Only),5.1,Outer London,9318.948648648648,50.21666666666667,36.88102564102565,0.1295223084292132,7950,1,False,False,True,False,False,5.1,0,1
Char.Gy,Operational,True,51.5056487,-0.1066798,2.0,Type 2 (Socket Only),5.1,Outer London,9318.948648648648,50.21666666666667,36.88102564102565,0.1308921714429118,7950,1,False,False,True,False,False,5.1,0,1
Shell Recharge Solutions (Uk),Not Operational,False,51.499947,-0.110097,1.0,Type 2 (Socket Only),3.7,Outer London,9318.948648648648,50.21666666666667,36.88102564102565,0.1281114921712353,7950,0,False,False,False,False,True,3.7,0,1
